annotation	bilirubin	time
36w_risk	18.1	305
36w_risk	18.2	329
36w_risk	18.2	353
36w_risk	8.5	18
36w_risk	12.1	42
36w_risk	14.8	66
36w_risk	16.7	90
36w_risk	17.1	114
36w_risk	17.2	138
36w_risk	17.3	162
36w_risk	17.5	186
36w_risk	17.6	210
36w_risk	17.7	234
36w_risk	17.8	258
36w_risk	18	282
36w_risk	18.1	306
36w_risk	18.2	330
36w_risk	18.2	354
36w_risk	8.6	19
36w_risk	12.2	43
36w_risk	14.9	67
36w_risk	16.7	91
36w_risk	17.1	115
36w_risk	17.2	139
36w_risk	17.4	163
36w_risk	17.5	187
36w_risk	17.6	211
36w_risk	17.7	235
36w_risk	17.8	259
36w_risk	18	283
36w_risk	18.1	307
36w_risk	18.2	331
36w_risk	18.2	355
36w_risk	8.8	20
36w_risk	12.3	44
36w_risk	15	68
36w_risk	16.8	92
36w_risk	17.1	116
36w_risk	17.2	140
36w_risk	17.4	164
36w_risk	17.5	188
36w_risk	17.6	212
36w_risk	17.7	236
36w_risk	17.9	260
36w_risk	18	284
36w_risk	18.1	308
36w_risk	18.2	332
36w_risk	18.2	356
36w_risk	9	21
36w_risk	12.5	45
36w_risk	15.1	69
36w_risk	16.8	93
36w_risk	17.1	117
36w_risk	17.2	141
36w_risk	17.4	165
36w_risk	17.5	189
36w_risk	17.6	213
36w_risk	17.7	237
36w_risk	17.9	261
36w_risk	18	285
36w_risk	18.1	309
36w_risk	18.2	333
36w_risk	18.2	357
36w_risk	9.1	22
36w_risk	12.6	46
36w_risk	15.2	70
36w_risk	16.9	94
36w_risk	17.1	118
36w_risk	17.2	142
36w_risk	17.4	166
36w_risk	17.5	190
36w_risk	17.6	214
36w_risk	17.7	238
36w_risk	17.9	262
36w_risk	18	286
36w_risk	18.1	310
36w_risk	18.2	334
36w_risk	18.2	358
36w_risk	9.3	23
36w_risk	12.7	47
36w_risk	15.3	71
36w_risk	17	95
36w_risk	17.1	119
36w_risk	17.3	143
36w_risk	17.4	167
36w_risk	17.5	191
36w_risk	17.6	215
36w_risk	17.7	239
36w_risk	17.9	263
36w_risk	18	287
36w_risk	18.1	311
36w_risk	18.2	335
36w_risk	18.2	359
NA	NA	NA
37w_risk	NA	0
37w_risk	10	24
37w_risk	13.5	48
37w_risk	16.1	72
37w_risk	17.9	96
37w_risk	18	120
37w_risk	18.1	144
37w_risk	5.9	1
37w_risk	10.2	25
37w_risk	13.6	49
37w_risk	16.2	73
